tweets,labels
wode “am good” b p bosea,Neutral
tag camavinga not me😂😂😂😂😂 me i know dada wawu koraa anka ɛyɛ,Negative
bra fie anopa am,Positive
bra   you didn’t do anything the guy mess up he need to come apologize to  not you big man  svxogfc,Positive
na enzo fernandez koraa release clause yɛ sɛn,Neutral
tell him bro gyimii saa,Negative
what i need right now nso hwan ba😒,Neutral
new music 💥💥💥bra abonten nii m ft ponobiom x   black,Neutral
smh kotoko fans it went our way nti na mooka saa no yesterday for instance,Positive
its today𝘼𝙠𝙬𝙖𝙖𝙗𝙖 𝙎𝙪𝙢𝙢𝙞𝙩 𝙖𝙣𝙙 𝘾𝙡𝙪𝙗 𝙛𝙖𝙞𝙧📣 𝘔𝘺 𝘧𝘶𝘵𝘶𝘳𝘦 𝘪𝘯 𝘦𝘯𝘨𝘪𝘯𝘦𝘦𝘳𝘪𝘯𝘨 𝘖𝘱𝘱𝘰𝘳𝘵𝘶𝘯𝘪𝘵𝘪𝘦𝘴 𝘢𝘯𝘥 𝘤𝘩𝘢𝘭𝘭𝘦𝘯𝘨𝘦𝘴 the universitys auditorium am promptakwaabaghieuenr,Positive
wode maya i’ll create wealth rather than look rich,Positive
wo papa abo bra 😂😂😂😂 no offense 😂😂😂,Neutral
akwaaba fest’ is cominglooking forward to the great show coming up in march akwaaba festival … march ththplease keep the datevendors and exhibitors should pls contact the following numbers for registration,Positive
the upcoming akwaaba week celebration in unimacgij will be hosting freshers akwaaba conference as part of the akwaaba week celebration which the theme for it is unleashing your inner potential a pursuit for academic excellence,Positive
aybi da  let ur blessings flow on me tonighti have tag you since morning tee saa oo i no see anything ooo 🙏🙏🙏🙏🙏,Positive
herh saa boy wei 😂😂😂,Neutral
masree saa bob little bia😆,Neutral
things you do to fail bra cash  you call this tremendous ne,Neutral
twi versiononua,Neutral
because ehh tontrowa koraa y damu s adwen oda nsuo mu na tesla,Neutral
for real sɛ sɛn 🤣🤣 does it make sense,Neutral
so going with local flight nso be problem…eiii the players are already tired,Negative
miss akwaaba for cornelious,Neutral
saa okay,Positive
you start your partner’s name with capital letter and start god’s name with small letter oh saa ong,Negative
exactly…akwadaa nya sika aa cse ne wcfa aambc bra,Negative
🤣🤣🤣🤣🤣 saa party no ankasa menhu ne y mo oo,Negative
i remember when dem throw this guy out of live showhe cry saa wey him tears stain me how time flies,Negative
anka raw nso na ɛde oo🤤,Neutral
dabiaa streams nso you never enter billboard adwuma foo sei😂😂😂,Negative
ghanaian youtuber wode maya fights to save his camera at togolese boarder     read more,Negative
we are officially ending the anticipation tonight pmwe will be sharing the official flyer for our freshers akwaaba with date and venue the wait is over thank you for staying with us 🙏🏽🫂,Positive
bra kobby must see this,Neutral
unimacgij to hold its the first edition of echo of leadership akwaaba freshers conference at the dworwulu campus on thursday th february     sssqe,Positive
breaking and setting records tein ucc has been able to register plus new members just this semester through the akwaaba drive we embarked on tein ucc 🔥🔥🔥  sgsaz,Neutral
ɛyɛ true paaa aaaa hmmmmm,Neutral
thebigbreakfast akwaaba,Positive
she has been saying it saa,Neutral
she dey resemble wode maya oo,Neutral
agenda saa  pathetic fans,Neutral
ohemma bra na menkyer wo me lord paper,Neutral
ah sɛn are you okay with how he positions his players or do you the type of formation he plays just observe him well,Positive
i have engage saa but nothing for brother man,Neutral
division  amp division fo no na di agor saa no andy kerm bra b hw,Negative
oh okay 😜 bra nie,Positive
ghanaian youtuber wode maya fights to save his camera at togolese boarder     read more,Neutral
wo saa boy wei,Neutral
🤣 🤣 🤣 sabinus sɛn,Neutral
saa na wote 😂 i said calm dowwnnnnn,Negative
ongoing at the moment is our maiden fun filled akwaaba games this event is aimed at welcoming our freshmen and duly socializing them with the rank and file of our association teinucc       svbvfku,Positive
the src of unimac gij has released their program line up for the sankofa akwaaba celebration which will take place at their new campus at north dzorwulu  and,Positive
why bra kwame,Neutral
😂😂😂😂 it’s like he was saying “wo kraa nso aaa”,Negative
akwaaba welcome,Positive
baldie laugh saa  szarwcx,Negative
imagine what atsu is going through under the rubble eh onyame bra muhis kids and wife aww dont scroll without touching 🙏🙏pray for christian atsu ✝️🙏  sprtbrxi,Positive
do women sleep with bra,Neutral
wasan nso abɔn aka howonnim difference between loose and lose kwasia baa bi saayou dey come insult newobɛnu woho aboa,Negative
i’m more than what she is saying but mabr saa girl nu 🤣🤣🤣lol,Negative
but why is she wearing a bra🤷🏽‍♂️,Neutral
woti wiase wombbra bia nso wo p s wodecedis kdi million w sportybet in just day😂wo maame kraa y edwumamonth ansaana w’anyacedis,Neutral
more meat dierr ɛyɛ 👍🏾  s,Positive
sista nso nte where😂,Negative
enso wo bɛ ka w’asɛm akyerɛ onipa biom heii berma last year no na ɛyɛ bɔkɔɔ deɛ,Negative
saa akoa no wabodam awie o ne ti sɛ mines foɔ staff bus,Negative
why do you wear bra,Neutral
are you ready our akwaaba summit comes off this saturday at exactlyam  our guest speakers are professor solomon nunoo  the utag president and ing peter adonten you cant miss it for anythingpromoting engineering excellence for society,Positive
buy from us na we don’t sell fake things 🥰very affordable too…surprise ur girlfriend n stop 🛑 bra fie 🤣,Neutral
our founder  sat on a panel of judges at the accra technical university’s mrampmrs akwaaba annual eventenjoy each slide……,Positive
that’s all…nipa nso y den,Neutral
there’s a song making waves on radio but it’s unfortunate i don’t know the titlede me te aane s dl afu adoa lol,Negative
have posted saa i don’t see anything 🙏,Negative
kwasia engagement nti u’ve subscribed to twitter blue  kwasia post nkoaaa nso then go bash u sort gyimiii,Negative
i have been searching for it on telegram saa 😂,Neutral
you no chop like two days this but w’atam sika s wode kre dade it be so,Negative
gist me 😂 bra whatsapp,Neutral
ne korakora ne sɛn reduction or no reduction,Neutral
bra wokasa dodo ahhh barima na wokasa saa no  i thought the men left the ranting for the females🙄,Negative
obi nso atc for kin noowan 🤣🤣,Neutral
ask liverpool funs of bra nurudeen😂😂😂,Neutral
which toxic fanbase kraa ne saa toonoo fuor yi,Neutral
ghananii de whom mam i to criticise ade bronii aymorrocco bronii nso y bronii oo,Neutral
ah bra u do not understand her english or what shes not talking about love here,Negative
akwaaba mohammed alhassan  sylqnt,Positive
wode maya lookalike,Neutral
opanin dware wia na nsuo asa thank you dr for coming in,Positive
aybi da  let ur blessings flow on me tonighti have tag you since morning tee saa oo i no see anything ooo 🙏🙏🙏🙏🙏,Positive
new music 💥💥💥bra abonten nii m ft ponobiom x   black,Neutral
your bra sizes is,Neutral
eii ɛyɛ asɛm oo hmm osɔfo kyiriabosom is going down with this expose h,Neutral
that one deɛ ɛyɛ format 😹😹,Neutral
bishop nso w feelings🙈,Neutral
akwaaba bra kwakwu   thebigbreakfast,Neutral
my first movie as a producer was stolen in the studio while an editor was working on it –  on anigye mmere with bra emmaanigyemmere onuafm  shck,Negative
ghana yesu i have engaged in ur giveaway saa but no avail☹️☹️😟😟 pls bless me this morning,Positive
herrh wo w hen fa bra🙄hey where are you bring iti feel the person disrespected me,Negative
atm my favourite phrase in the entire twi language is ɛfa me hu bɛnand all its conjugations  s,Neutral
aybi da  let ur blessings flow on me tonighti have tag you since morning tee saa oo i no see anything ooo 🙏🙏🙏🙏🙏  sduzoi,Positive
i participated in the akwaaba magic creative industry summit held few weeks ago at the multichoice ghana head office in accra a very impactful twoday summitakwaabamagic creativeindustry creatives,Positive
we await you akwaaba in advance 🎉,Positive
wo tie asakaa nso wo mp wizkid ma friend wasom ay dirty 🙏😎😂,Negative
herh me i crush on you saa i taya why the reshin is too much ah tsww,Positive
thanks for appreciating  fabulous jersey from a farasante saa na god bless you,Positive
ɛyɛ clear penalty ɛyɛ cleeeeeeear,Positive
🟠🟤🟠🟤🟠🟤adgesumat will be hosting their first general meeting and freshers akwaaba on the th,Positive
walking nso all day 🚶‍♀️,Neutral
ei asem bɛn kraaaa nie you keep shifting the goal post 😂  team had just bron for games without ad   team had bron amp russ through out their…  superstars as against superstar that’s the point here had bron against’s bron amp russ abysmal,Negative
hello fellows 👋🤗 we invite you to our sunday service which is an akwaaba sundaycome with a friend and a loved onesee you there 🏠 hacienda city mall⌚ amgod bless you as you come 🙏,Positive
you’ve said it all cox no one call tell me what black rasta is doing isn’t hatred towards obidi i just hope say obidi go shaun music and just focus on his other businesses cox the hate from this side is too much just because marley featured him on a song 🤦‍♂️🤦‍♂️bibinii nso y nipa,Neutral
felt same bra panin,Neutral
been listening saa atiabanku  sqai,Neutral
school deɛ ɛyɛ o cos enyɛ school ah nanka how can  szrl,Positive
bra relax wai 😂😂over excitement 😹😹,Positive
it’s about time bra adotey advise some of this boys,Neutral
so this dude is on the space claiming he had yesterdays tweet written down for months and he chose to tweet it after sdk tweeted about his mothers deatheiiii bra bongo 🤦‍♂️🤦‍♂️🤦‍♂️,Neutral
finally wode woho aba😂😂,Positive
biggie please open your door lemme go knock blaqboi 😡 berma gyimifuo bɛn nie 😩 bbtitans,Negative
new music 💥💥💥bra abonten nii m ft ponobiom x   black,Positive
me ly paa oo nso me sika sem ny 😂,Neutral
yɛn nso yani wɔ stabilizer sɛ hwan no so sɛ wa ntumi a ma fridge no anyɛ adwuma a,Negative
wode asem beba oooooo eiiii what if the wife is listening this man is dead for house tonight,Negative
nsuo edo wo na ekc wahina mu it’ll definitely be yours when he belongs to you go face your fears,Positive
akwaaba 🤝  islamic university college of ghanaiucg,Positive
lol saa,Neutral
rasta man na woy emotional saa no 😂😂😂,Negative
naaa ago buy that one saa  pieces instead by baako p gh,Neutral
rushhouronasaase                                                                                np bra   ft pat thomasw  amp   on,Neutral
ah bra respect porpor ok,Positive
akwaaba mo🇦🇹🇦🇹🇦🇹great graduation from shs to the university see how he is relaxed😎,Positive
easily the best defender in our league akwaaba mo,Positive
a taya oo teams cut saa today di we get them,Negative
saa information wei paa cps yde y dn,Negative
you do saa erh,Neutral
osee wait aane oo😂,Positive
saa ne moves wei nti na kosi dwa no no 😂😂😂,Negative
wode wardrobe ɛɛyɛ den😂goan buy efiewura suame🤣🤣,Negative
good morning bra sammy,Neutral
saa send meauxmeaux 😔,Neutral
aybi da  let ur blessings flow on me tonighti have tag you since morning tee saa oo i no see anything ooo 🙏🙏🙏🙏🙏dont mind am baba,Positive
wode infinix paa btwa me picture de enka fa sikan twa me🤷‍♀️🤣,Negative
rushhouronasaase                                                                                np bra   ft kojo antwiw  amp   on,Neutral
miracleeeeeee bra don’t be talking  to blue aiva about this stuff bbtitians,Negative
your bra sizes is,Neutral
but shatta wale nso asem bɛn nkoaaa  siya,Negative
but does supporting peter obi and a change of government means we should suspend our brain and sense of reasoning to the point of ridiculing our country at any slight opportunity is that a way to win an election what sort of irritating childish mentality is this 🤷‍♂️ ghana ke,Negative
saa afena nu b hwiee yiee paa wo united yena be ho mere nanso wantumi ankyere ni bobr yen hwe nea marcel sabitzer yi nso b y,Neutral
okra nso aka kasahari afa me nnomuu saa ah 😂,Negative
girls no nso agyimii too much,Negative
ah blocked sɛn😂ah so boys cannot crush on you again🤣🤣🤣,Negative
na wo nso at club beer🤣🤣,Neutral
only  supported me when i was banned by fipag    on anigye mmere with bra emma anigyemmere onuafm  sgj,Positive
my girlfriend my girlfriend nyinaaa saa na priscilla,Neutral
yesufie   im beginning to think that these giveaway stuff no be reali have been dropping saaa nso momo,Neutral
begging nso baa dabn,Negative
ne nan ho fitaa saa no advice papa bɛn,Negative
i wish to post my girl    nso me ni bi 😢😢😢,Negative
talking about respect ✊ eiii bra go and come back again 😁☺️,Negative
eii saawho en own that,Neutral
when will i win some eiiiiiiii ma try saaaaa nso ok maybe today can be my lucky day,Neutral
ghanaian youtuber wode maya fights to save his camera at togolese boarder     read more,Negative
i can’t bra,Negative
akwaaba fest’ is coming,Positive
na wode bias english commentary no eey den,Neutral
yaa wo nso engage in my tweets wai 🤣😂💔,Positive
akoa wei ankasa no wadi mfie sn hall decorations na wode compare asikafour success shatta wale aha mo o,Negative
you people make the team like frɛfrɛkɔbɔ 😂😂😂😂😂🤣🤣🤣,Positive
bra geovani you made me laugh saaa😊keep it up mr geovani,Positive
i watch saa,Negative
wo boy wei as wo yale  is it that wo you dont understand what he wrote or your usual gyimi sem noaaa how does his tweet confirm atsu was found sua nyansa na gyae saa wo stupid life no,Negative
can we get some pictures of the guy  cmon  we’ve been waiting saa and we deserve some clarity ❤️  thank god for his life  wow,Positive
am sure  adds dustin baby powder to his weed panin na wagyimi saa no,Negative
accra medic season  episode  tonight  gmt on dstv akwaaba magic channel and go tv channel catch y’all there,Positive
pay me pay me nyinaa wode aky boy no,Negative
ghanaian youtuber wode maya fights to save his camera at togolese boarder     read more,Neutral
he go come spoil everything bad luck saa no,Negative
you need the bottle to survivebefore you think on how to make it what strength are you going to use to get that well you nso a you dont have what it take to get a bottle now😂😂 my friend beg till you get some oo else you will die,Neutral
wo dir bra studio 😂😂,Neutral
hes too bitter every artist isnt good except him ɛno yɛ homhom fi bɛn nono,Negative
my super fantastic family ɛyɛ yɛshia wɔha🌴♾️,Positive
sure bra,Positive
bro you knw nothing about the dealgo and sit down you have been ranting since nso nfa,Negative
bra mike chop life ✊🏿,Neutral
the countdown continues 🥳🎊🥳🎊 the akwaaba night is just  days away we will see you there 🤗🤗🤗,Positive
onua… kenkey deconstruction nó… woyɛɛ nó sɛn asking for a friend 🙏,Positive
i will expose you saa,Negative
why will i ever be a member of a group fipag of men who banned me   on anigye mmere with bra emmaonuafm anigyemmere  squnziak,Neutral
we may end up waiting forever mu ya nso mako nnim🤓,Neutral
ɛyɛ easy oh 😂😂,Positive
join  and i this thursday for the freshers akwaaba conference 💫🙌🙌,Positive
src president announces date for akwaaba week celebration and src week celebration,Positive
kyer s u dey eavesdrop conversations nso 😏😏   the next to enjoy from sark second to  is u,Positive
eeii bra don’t make my head sweet me😂,Positive
speedy recovery bra,Positive
ghanaian youtuber wode maya fights to save his camera at togolese boarder     read more,Neutral
dezzy need the tax for development nti ɛtuo dierr ɛyɛ paa 😉,Positive
watch how a university drop out became a famous african youtuber source wode maya,Neutral
gyimie saa oo nothing is ever wrong in their eyes 🍼,Negative
thinking nso y nipa,Neutral
the echo leadership of unimac gij is organising a  conference titled freshers akwaaba conference on thursday th february  at dzorwulu amthis conference is to enable the freshers get oriented on  the necessary skills to achieve their educational goals in,Positive
yesu nso wopre sei yesu dirr anka u came to die for us but with you,Negative
new music 💥💥💥bra abonten nii m ft ponobiom x   black,Positive
baba i tag u saa no mind me,Negative
dabiaa mo pae no yawa nso still 😂😂😂,Neutral
ghanaian youtuber wode maya fights to save his camera at togolese boarder     read more,Neutral
gijsrc will organize a sankofa akwaaba week celebration for its freshmen and women to officially welcome them into the institutionflyer from gijsrc wocom,Positive
bra nart why wo baaaaa ne ba anaaa,Neutral
so you do saa now you dey get engagement eii 💔😂,Positive
aane… my dm,Neutral
ah bra overhyped no dso,Neutral
lol sɛn,Neutral
bra kofi please dm me thank you,Neutral
this small finished apple the seller told me it’s  cedisi shouted eii maame aden ɛyɛ ios sen😳,Negative
next game sɛn  sd,Neutral
which one too be minister of state in charge of finance asɛm bɛn koraa nie 😹😹😹😹😹,Negative
happy birthday bra🍾🎉🍿🥧🍭🎂🎊 god bless you,Positive
akwaaba in advance,Neutral
sponsored by sɛn 🤣,Neutral
i will create wealth rather than look rich  wode maya defends criticism about wearing slippers davasnews ghananews  stcobhdovxsop,Positive
saa is only you who don’t pay in relationship 😂😂😂,Negative
na wonim nso sɛ marcus atena a ɔto tiaa akodeɛ wɔ ɔpɛpɔn mu no na agye abasobɔdeɛ sɛ atena a ɛfɛ wɔ manchester united bɔɔlobɔ kuo no mu ɔpɛpɔn yi  abranteɛ no abrem ne tadua paayɛ ma no amo,Positive
welcome to the safest brand akwaaba,Positive
lmaoo this man will not kill us oh😂past recollection presently revived sɛ sɛn,Neutral
ofui ur parents na ɛyɛ mid,Negative
ketu south mp wades into scuffle between wode maya,Neutral
𝐀𝐊𝐖𝐀𝐀𝐁𝐀 𝐖𝐄𝐄𝐊 𝐂𝐄𝐋𝐄𝐁𝐑𝐀𝐓𝐈𝐎𝐍 𝟐𝟑akwaabaghieuenr,Positive
new music 💥💥💥bra abonten nii m ft ponobiom x   black,Positive
do you wear bra🙄🙄,Neutral
its the way ghtwitter clipped kojo jones wings for mesaa na he wants t go into politicsboi,Negative
😂😂😂h micky😆😆 chale do your decoding saa wai na wei de den so no no 😆  chale music no be your talent my guy,Negative
ooo bra you went too far,Negative
lowkey youre becoming useless o you dont verify anything na akufoaddo ne mahama kraa b³nya saa reception wei😂😂😂 arrh,Neutral
sia truth bɛn,Negative
buy this time adele diee lie bɛn,Negative
gallagher yi nso,Neutral
saa akoa wei p kasa papawwy guyguy this  sgeapm,Negative
bra emma  how far is too early for assessment but are you sure chelsea can finish in the top,Neutral
lmaoooo ah herh this miracle boypunch me sɛn,Neutral
the moment i started reading the second thread i said daabida bra ben boa 😂😂😂😭,Negative
saa ppp alanforallafa,Positive
teinucc akwaaba games,Positive
ei god this girl said i should sing “i feel pretty” song bi when i am bathing cos the right duration to bathi should also sing abcd when brushing my teeth cos its mins and thats the right duration to brushlmao bra ghana be hwe 🤣🤣🤣🤣🤣🤣🤣,Negative
p biribi hy piy bra i’m outside,Positive
aybi da  let ur blessings flow on me tonighti have tag you since morning tee saa oo i no see anything ooo 🙏🙏🙏🙏🙏,Negative
just they wonder why bra put quick response code pa en yone,Neutral
i remember when my girl was cheating on me and i questioned her the reply she gave me was wo gye obi girl aa ɛyɛ wo dɛ whiles she continue to cheat till now when i remember i shout herrh,Neutral
aden fuel and water increase no nso fa dstv ho bn,Negative
same way ur mother milk ur father finish wey dump am go take another manaww😭😭😭 wo papa ambc bra ya oo,Negative
lady just took money out of her bra after talking of communicable disease 😐,Negative
ofui how much did your team buy harry maguire mo sɔdi’a gyimie kasa saa  shzk,Negative
obra ma bra nyinaa now i dey sign check 💥💥💥💥,Neutral
stranded sɛnhe no pick flight come london,Negative
aane ibi easy 😅,Positive
wode i know where this is going 😂😂😂,Neutral
to  dier anka golf fa wu hu bɛn,Negative
monitor him sɛ sɛn 💁‍♂️ daterush,Negative
alejandro  madrid fa  million bra be gyi  na we need money bad,Positive
our akwaaba summit and general meeting comes off this saturday at the mini auditorium its a packed and insightful summit  you shouldnt miss this  s,Positive
if you no be starman them fit toss you around saa😂😂e go over you sef,Negative
your profile says you love entertainment oo bra gideon,Neutral
aden how many times has he play bra,Neutral
aane na correct plug no ne asem,Negative
do ghanaians ever reduce profits youre joking bra,Neutral
😂🤣🤣😂🤣 team na ay pky saa nu kai s hibernate 😂🤣🤣,Positive
but twene wode wagyimi paaa,Negative
oh bra  srjqpzup,Neutral
ana obi nso ato camavinger😂,Neutral
na max verstappen kraa average speed yɛ sɛn,Negative
akwaaba you’ve been missed 🙏🏾❤️,Positive
so the gfa have still not found a coach for the black starshow do we expect to compete with serious nations for the afconlets get serious in this country ooowe can never progress and win anything with this lackadaisical attitude towards assignmentslast minute show saa,Negative
we go hit this odds some one day if only you are ready to be trying with me saa regardless the losses 😂congratulations,Positive
receipt deɛ ɛyɛ ooooooo,Neutral
eeeiiii bra adn asoden aboden paa nie as if u mennerz no dey dis wiase sam k na k gye w’ani so err,Negative
saturday bra na ynkc,Neutral
akwaaba madam may you have a fruitful mission  sphoto credit sbmvi,Positive
bra u are not in our camp anymore wai so leave us alone 😫,Negative
no have engage saa mabr,Negative
whenever you buy gɔbɛ dont but  but buy ₵ saa two,Neutral
herh wode maya stop that  sljq,Negative
that why they always says”wode bdi odo no fadi banku”🚶🏼they are wicked 😔💔,Negative
single fuo de saa,Neutral
akwaaba bra kwakwu   thebigbreakfast,Positive
ɛyɛ asɛm ooohmmmgod will take care of us,Positive
you mingle with the rich if you wanna be rich so i get it well done bra abbey,Positive
none of ur relatives die before was god not god anyone can die at any moment bra stop the nonsense,Negative
online class dierr yde nu hello madam hello madam saa na  hours nu asa,Neutral
theres so much weve got on akwaaba magic for you in the month of love,Positive
ɛnyɛ strongman koraa nka ɛbɛ duru mfie du na me nkɔ pɛ hwee wɔ saa status side hɔ,Negative
get home sɛn anything can happen wai,Neutral
ah bra why,Neutral
wo nni kapr nso youre shouting for concert,Negative
settings man nso gyina mu,Positive
the lakershow bra,Neutral
the department of accountancy offers newly admitted students a freshers orientation students are excited to embark on a new journey at sunyani technical university to study accountancy or computerized accounting akwaaba to our beautiful amp handsome freshersany advice for them,Positive
new music 💥💥💥bra abonten nii m ft ponobiom x   black,Neutral
wode maya wheres the video linki wanted to watch🤔  s,Positive
brɔfo left left bɛn nunudaterush,Neutral
since day one you have been behaving as if you would love it if he does not make it adn na negetivity ywod saa,Negative
eiii saa  sawymbtkp,Neutral
so people actually sleep with bra,Neutral
hopefully you tell your children to protect your legacy like how you wish until then leave them to do what they wish to do with their dads legacy abayisɛm bɛn nie,Negative
oh bra date me and give me that gh a day wai 😂,Neutral
na whan nso nieas wwe superstar ooo,Neutral
watch ceejay multimedia launches  akwaaba festival new source ghanaweb tv,Positive
do or die saa na one eye burst  asem oo,Negative
wode maya is bugging,Positive
new music 💥💥💥bra abonten nii m ft ponobiom x   black,Neutral
wey double chance prophesy this gyimie saa 🤣🍼,Negative
akwaaba bash melssa familycome chill with us after all these stressful lectures,Positive
eeii saa pls wheres yesterdays behind the scenes bro,Neutral
bro i tweet saa,Neutral
we pray the next akwaaba games will be more massive,Neutral
but who sleeps with a braboi😩ne wo gal s wo yere kum wo 🤣,Negative
kommot for there progress papa ben mmo ab krnoo saa your cup ll be full one day sia mahn,Negative
herh it’s a very beautiful and corny love song and gives whatever a love song is supposed to give  stars king sɛ sɛn is it the message or what,Neutral
bro i have send momo number saa 😪😪💔,Neutral
trust the process saa now i get trust issues sef,Neutral
wo papa ambo bra na wo se economy 🤣,Negative
yrs instalments nso ye sika ben,Positive
